City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Castro,BR,-24.7911,-50.0119,72.82,59,40,3.53,scattered clouds
262,Umm Bab,QA,25.2142,50.8072,89.28,68,3,10.2,clear sky
263,Nara,JP,34.6851,135.8049,72.68,91,99,8.14,overcast clouds
264,San Patricio,US,28.017,-97.5169,86.41,36,2,9.31,clear sky
265,Panguna,PG,-6.3164,155.4848,67.33,97,48,1.95,light rain
266,Port Lincoln,AU,-34.7333,135.8667,50.72,72,28,13.22,scattered clouds
267,Odweyne,SO,9.4092,45.064,78.42,47,72,13.76,broken clouds
268,Okakarara,NA,-20.5833,17.4333,77.16,13,2,7.47,clear sky
269,Leningradskiy,RU,69.3833,178.4167,23.22,73,100,6.73,overcast clouds
270,Malumfashi,NG,11.7853,7.6218,79.38,52,75,3.06,broken clouds
271,Eyl,SO,7.9803,49.8164,78.01,83,65,18.12,broken clouds
272,Pangody,RU,65.85,74.4859,32.34,79,6,6.64,clear sky
273,Atar,MR,20.5169,-13.0499,101.5,16,94,7.31,overcast clouds
274,Gusau,NG,12.1628,6.6614,84.67,48,52,2.44,broken clouds
275,Kozhva,RU,65.1073,57.0459,44.15,60,95,16.08,overcast clouds
276,Ontario,US,34.0633,-117.6509,89.38,59,20,1.99,haze
277,San Nicolas,PH,18.1725,120.5953,79.38,80,18,6.11,few clouds
278,Carballo,ES,43.213,-8.691,69.49,76,72,6.44,broken clouds
279,Tilichiki,RU,60.4667,166.1,35.55,76,58,2.28,broken clouds
280,Grants,US,35.1473,-107.8514,71.83,35,1,6.91,clear sky
281,Srandakan,ID,-7.9386,110.2506,77.31,87,87,7.9,overcast clouds
282,Adre,TD,13.4667,22.2,82.06,27,80,6.67,broken clouds
283,Constitucion,CL,-35.3333,-72.4167,59.09,65,89,6.87,overcast clouds
284,Walvis Bay,NA,-22.9575,14.5053,58.15,82,24,11.5,few clouds
285,Deqing,CN,30.5448,119.9599,73.36,96,95,1.95,light rain
286,Orangeburg,US,33.4918,-80.8557,78.94,47,1,5.75,clear sky
287,Osakarovka,KZ,50.565,72.5692,44.08,35,52,2.28,broken clouds
288,Sao Francisco De Assis,BR,-29.5503,-55.1311,71.13,53,0,6.64,clear sky
289,Sorland,NO,67.667,12.6934,48.76,71,42,16.24,scattered clouds
290,Souillac,MU,-20.5167,57.5167,72.36,83,40,13.8,light rain
291,Bilma,NE,18.6853,12.9164,93.04,12,0,9.75,clear sky
292,Cabo San Lucas,MX,22.8909,-109.9124,92.61,66,9,1.01,clear sky
293,Mount Gambier,AU,-37.8333,140.7667,39.11,93,90,1.14,overcast clouds
294,Bridlington,GB,54.0831,-0.1919,68.18,95,100,13.0,overcast clouds
295,Kunming,CN,25.0389,102.7183,60.73,88,75,4.47,broken clouds
296,Sokolo,ML,14.7328,-6.1219,86.79,43,61,4.68,broken clouds
297,Fonte Boa,BR,-2.4959,-66.2662,89.31,52,60,3.56,broken clouds
298,Abu Dhabi,AE,24.4667,54.3667,93.22,59,0,5.75,clear sky
299,Codrington,AU,-38.2667,141.9667,44.02,69,69,3.44,broken clouds
300,Kovdor,RU,67.5662,30.4758,38.03,95,98,3.11,overcast clouds
301,Coquimbo,CL,-29.9533,-71.3436,65.93,59,0,8.05,clear sky
302,Namatanai,PG,-3.6667,152.4333,78.85,82,22,7.25,few clouds
303,Rio Grande,BR,-32.035,-52.0986,69.91,82,67,3.2,broken clouds
304,Aklavik,CA,68.2191,-135.0107,32.83,93,90,11.5,light snow
305,Elizabethtown,US,37.694,-85.8591,68.95,77,75,6.91,broken clouds
306,Pandan,PH,14.0453,124.1694,80.8,84,96,4.97,overcast clouds
307,Bucerias,MX,20.75,-105.3333,86.99,76,13,3.87,few clouds
308,Primorsk,UA,46.7348,36.3443,57.16,66,74,10.36,broken clouds
309,Jacksonville,US,30.3322,-81.6556,87.04,56,40,3.0,haze
310,Kaka,TM,37.3482,59.6143,81.52,29,0,6.44,clear sky
311,Tarma,PE,-11.4197,-75.6908,61.77,47,84,12.03,broken clouds
312,Baker City,US,44.7749,-117.8344,72.64,39,1,0.0,clear sky
313,Husavik,IS,66.0449,-17.3389,39.11,95,100,12.75,overcast clouds
314,Rangia,IN,26.4667,91.6333,80.55,83,8,3.02,clear sky
315,Eureka,US,40.8021,-124.1637,56.01,91,13,1.01,few clouds
316,Vagay,RU,57.9375,69.0217,32.58,80,4,4.21,clear sky
317,Lucea,JM,18.451,-78.1736,88.86,68,7,9.31,clear sky
318,Mabaruma,GY,8.2,-59.7833,89.58,58,14,8.14,few clouds
319,Oranjestad,AW,12.524,-70.027,91.35,66,20,21.85,few clouds
320,Springbok,ZA,-29.6643,17.8865,63.01,32,76,3.85,broken clouds
321,Manokwari,ID,-0.8667,134.0833,77.76,80,91,2.51,overcast clouds
322,Cookeville,US,36.1628,-85.5016,71.31,70,75,1.01,broken clouds
323,Lata,PT,40.1629,-8.3327,69.93,86,62,4.74,broken clouds
324,Sarkand,KZ,45.41,79.9186,49.98,17,14,4.18,few clouds
325,Ayer Tawar,MY,4.2954,100.7548,80.55,88,20,0.0,few clouds
326,Gabu,GW,12.2833,-14.2167,85.93,73,96,0.34,light rain
327,Pochutla,MX,15.7432,-96.4661,88.83,56,53,5.77,broken clouds
328,Bang Len,TH,14.0219,100.1718,79.99,93,100,2.24,light rain
329,Avera,US,33.194,-82.5271,78.71,38,49,4.85,scattered clouds
330,Lamu,KE,-2.2717,40.902,77.22,81,100,15.05,overcast clouds
331,Banda Aceh,ID,5.5577,95.3222,80.46,78,98,10.42,overcast clouds
332,Las Matas De Farfan,DO,18.8731,-71.5166,89.22,51,15,1.81,few clouds
333,Prado,BR,-17.3411,-39.2208,75.74,59,12,9.73,few clouds
334,Palana,RU,59.1167,159.9667,38.35,71,76,5.64,broken clouds
335,Excelsior Springs,US,39.3392,-94.2261,76.57,29,1,0.0,clear sky
336,Dzidzantun,MX,21.25,-89.05,94.28,42,55,3.94,broken clouds
337,West Bay,KY,19.3667,-81.4167,89.67,89,40,1.99,scattered clouds
338,Craig,US,40.5153,-107.5464,69.84,24,1,3.44,clear sky
339,Oranjemund,NA,-28.55,16.4333,57.49,82,85,9.42,overcast clouds
340,Karpogory,RU,64.0019,44.4451,45.86,95,100,8.43,overcast clouds
341,Khandyga,RU,62.6667,135.6,38.59,98,100,2.8,overcast clouds
342,Lauenburg,DE,53.372,10.5565,66.0,91,99,4.27,overcast clouds
343,Faya,SA,18.3851,42.4509,73.92,26,45,10.33,scattered clouds
344,La Ronge,CA,55.1001,-105.2842,57.45,58,75,4.61,broken clouds
345,Ginda,IN,30.6945,78.4932,60.82,89,13,4.63,few clouds
