City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Nicolas Bravo,MX,2021-09-23 01:23:01,18.45,-88.9167,72.27,99,67,3.69
211,Anzio,IT,2021-09-23 01:23:02,41.4853,12.6179,67.44,91,6,9.26
212,Kopavogur,IS,2021-09-23 01:23:02,64.1123,-21.913,39.42,87,40,6.91
213,Alta Floresta,BR,2021-09-23 01:23:03,-9.8756,-56.0861,83.25,32,85,3.13
214,Camacha,PT,2021-09-23 01:23:03,33.0833,-16.3333,69.22,73,40,11.5
215,Bendigo,AU,2021-09-23 01:23:04,-36.7667,144.2833,65.86,60,0,1.99
216,Kaka,TM,2021-09-23 01:23:04,37.3482,59.6143,68.36,19,0,6.22
217,Gat,IL,2021-09-23 01:22:03,31.61,34.7642,74.91,100,0,6.46
218,Sao Miguel Do Araguaia,BR,2021-09-23 01:23:05,-13.275,-50.1628,89.67,19,83,3.24
219,Mahina,PF,2021-09-23 01:23:05,-17.5065,-149.489,80.37,65,40,6.91
220,Spring Valley,US,2021-09-23 01:23:06,36.108,-115.245,96.3,14,20,9.22
221,Coquimbo,CL,2021-09-23 01:23:06,-29.9533,-71.3436,55.13,66,0,3.44
222,Cowra,AU,2021-09-23 01:23:07,-33.8333,148.6833,59.97,65,5,5.44
223,Port Hedland,AU,2021-09-23 01:19:19,-20.3167,118.5667,82.45,8,100,13.8
224,Meridian,US,2021-09-23 01:20:34,43.6121,-116.3915,79.65,33,1,4.61
225,Norman Wells,CA,2021-09-23 01:23:08,65.282,-126.8329,35.64,93,90,14.97
226,Mezhova,UA,2021-09-23 01:23:09,48.2532,36.7347,46.98,77,100,1.95
227,Paamiut,GL,2021-09-23 01:23:09,61.994,-49.6678,34.05,81,92,10.8
228,Fushun,CN,2021-09-23 01:23:10,41.8558,123.9233,58.71,95,100,4.56
229,Torbay,CA,2021-09-23 01:23:10,47.6666,-52.7314,62.28,84,40,17.27
230,Moyale,KE,2021-09-23 01:23:11,3.5167,39.0584,66.07,83,50,13.87
231,Broken Hill,AU,2021-09-23 01:18:56,-31.95,141.4333,64.4,42,0,3.53
232,Darhan,MN,2021-09-23 01:23:11,49.4867,105.9228,42.22,76,7,0.98
233,Christchurch,NZ,2021-09-23 01:23:12,-43.5333,172.6333,61.48,75,100,4.0
234,Ilulissat,GL,2021-09-23 01:23:12,69.2167,-51.1,8.2,76,16,7.4
235,Havre-Saint-Pierre,CA,2021-09-23 01:18:55,50.2334,-63.5986,55.76,88,90,5.75
236,Cidreira,BR,2021-09-23 01:23:13,-30.1811,-50.2056,62.4,69,94,17.22
237,Raymondville,US,2021-09-23 01:23:13,26.4815,-97.7831,79.02,43,78,9.75
238,Shihezi,CN,2021-09-23 01:23:14,44.3,86.0333,56.46,25,100,4.03
239,Abu Kamal,SY,2021-09-23 01:23:14,34.4506,40.9171,77.86,34,0,6.8
240,Lorengau,PG,2021-09-23 01:23:15,-2.0226,147.2712,82.54,77,82,10.69
241,Zhuanghe,CN,2021-09-23 01:23:15,39.7008,122.9911,67.28,62,20,9.37
242,Arraial Do Cabo,BR,2021-09-23 01:23:16,-22.9661,-42.0278,67.96,60,40,12.66
243,Kahului,US,2021-09-23 01:18:22,20.8947,-156.47,85.26,71,40,25.32
244,Beringovskiy,RU,2021-09-23 01:23:16,63.05,179.3167,38.23,69,100,7.63
245,Pidhorodne,UA,2021-09-23 01:23:17,48.5753,35.1068,45.64,87,100,3.89
246,Carora,VE,2021-09-23 01:23:17,10.1755,-70.0827,78.89,71,67,3.83
247,Mineros,BO,2021-09-23 01:23:18,-17.1167,-63.2333,76.59,44,78,4.61
248,Rio Grande,BR,2021-09-23 01:19:52,-32.035,-52.0986,60.33,70,100,16.82
249,Chuy,UY,2021-09-23 01:23:19,-33.6971,-53.4616,53.73,83,100,6.58
